Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2735,2735,12,1.54351,1.90428,2.12962,0.038757,0,2.12997,3.40848
internalMesh,2736,2736,12,1.54311,1.90487,2.12952,0.0308001,0,2.12974,3.40977
internalMesh,2737,2737,12,1.54216,1.90587,2.12888,0.0218574,0,2.12899,3.41355
internalMesh,2738,2738,12,1.54004,1.90807,2.12726,0.0115066,0,2.12729,3.42181
internalMesh,2739,2739,12,1.53728,1.91048,2.12482,-8.4785e-05,0,2.12482,3.43703
internalMesh,2740,2740,12,1.53408,1.91373,2.12217,-0.012148,0,2.1222,3.45464
internalMesh,2741,2741,12,1.5314,1.91605,2.11964,-0.0241479,0,2.11978,3.47241
internalMesh,2742,2742,12,1.52884,1.91884,2.11747,-0.0357067,0,2.11777,3.48878
internalMesh,2743,2743,12,1.52721,1.9203,2.11582,-0.0465753,0,2.11633,3.50267
internalMesh,2744,2744,12,1.52596,1.92193,2.11473,-0.0566387,0,2.11549,3.51362
internalMesh,2745,2745,12,1.52553,1.92254,2.1142,-0.0657943,0,2.11522,3.52152
internalMesh,2746,2746,12,1.52539,1.92313,2.11406,-0.074193,0,2.11536,3.52664
internalMesh,2747,2747,12,1.52562,1.92325,2.11415,-0.0818499,0,2.11573,3.53066
internalMesh,2748,2748,12,1.52545,1.92403,2.11406,-0.089068,0,2.11594,3.53352
